date,minutes_worked_out,workout_type,effort_level,heart_rate_avg,steps,zone_minutes,workout_location,mood_after_workout,injury_or_issues,notes
2025-05-01,40,"Cardio (Walking)",5,100,6500,12,"Outdoor","Refreshed","None","Morning walk in the neighborhood"
2025-05-02,50,"Strength (Upper Body)",7,132,8000,22,"Gym","Strong","None","Focused on chest and back"
2025-05-03,30,"Yoga",4,90,4800,3,"Home","Relaxed","None","Gentle stretching and breathing"
2025-05-04,60,"Cardio (Running)",8,145,10500,40,"Outdoor","Energized","None","Long run, steady pace"
2025-05-05,35,"HIIT (High Intensity)",9,155,8200,34,"Station","Tired","Slight ankle soreness","Short, intense intervals"
2025-05-06,0,"Rest Day",1,70,4000,0,"Home","Neutral","None","Rest and recovery"
2025-05-07,45,"Strength (Lower Body)",8,140,9000,28,"Gym","Accomplished","None","Squats, lunges, and deadlifts"
2025-05-08,40,"Cardio (Cycling)",6,125,7200,16,"Home","Calm","None","Stationary bike, moderate effort"
2025-05-09,55,"Circuit Training",7,130,9500,26,"Station","Focused","None","Mixed cardio and strength"
2025-05-10,30,"Mobility / Stretching",3,85,4100,2,"Home","Loose","None","Full-body mobility routine"
2025-05-11,60,"Cardio (Rowing)",8,142,10000,35,"Gym","Energized","Blister on hand","Rowing machine intervals"
2025-05-12,25,"Foam Rolling / Recovery",2,80,3200,0,"Home","Relieved","None","Foam rolling and light stretching"
2025-05-13,50,"Strength (Full Body)",7,135,8700,24,"Gym","Motivated","None","Full-body circuit, moderate weights"
2025-05-14,35,"Combat / Tactical Drills",8,138,7500,20,"Station","Alert","None","Defensive tactics practice"
2025-05-15,45,"Cardio (Swimming)",6,120,6000,14,"Pool","Refreshed","None","Laps, steady pace"
2025-05-16,60,"Sports (Recreational)",7,137,9800,30,"Outdoor","Happy","None","Soccer with friends"
2025-05-17,30,"Duty-related Physical Activity",5,110,5300,7,"On Duty","Neutral","None","Foot patrol, moderate activity"
2025-05-18,40,"Other (Specify)",6,125,7100,17,"Home","Content","None","Home workout, mixed exercises"
2025-05-19,0,"Rest Day",1,68,3900,0,"Home","Neutral","None","Rest and recovery"
2025-05-20,45,"Strength (Full Body)",7,132,8420,25,"Gym","Energized","None","Full-body circuit with weights"
2025-05-21,30,"Yoga",5,98,5600,5,"Home","Relaxed","None","Active recovery focus"
2025-05-22,60,"Cardio (Running)",8,145,10234,42,"Outdoor","Energized","None","Outdoor run, moderate pace"
2025-05-23,50,"HIIT (High Intensity)",9,158,8890,38,"Gym","Drained","Knee soreness","High-intensity session, felt strong"
2025-05-24,40,"Strength (Upper Body)",7,135,7650,21,"Station","Focused","None","Upper-body push workout"
2025-05-25,0,"Rest Day",1,70,4100,0,"Home","Neutral","None","Planned rest day"
2025-05-26,35,"Cardio (Cycling)",6,125,7000,18,"Home","Calm","None","Stationary bike during lunch break"
2025-05-27,55,"Strength (Lower Body)",8,140,9500,30,"Gym","Accomplished","None","Heavy squats and lunges, strong session"
2025-05-28,40,"Cardio (Walking)",5,102,6700,10,"Outdoor","Refreshed","None","Brisk walk in the park"
2025-05-29,50,"HIIT (High Intensity)",9,155,9000,36,"Station","Energized","None","Intense intervals, high sweat"
2025-05-30,30,"Yoga",4,92,5200,4,"Home","Relaxed","None","Gentle flow, focused on flexibility"
2025-05-31,60,"Cardio (Cycling)",7,130,11000,28,"Outdoor","Happy","None","Long ride, moderate pace"
2025-06-01,45,"Strength (Full Body)",7,134,8500,24,"Gym","Motivated","None","Full-body circuit, increased weights"
2025-06-02,35,"Mobility / Stretching",3,88,4300,2,"Home","Loose","None","Focused on hips and shoulders"
2025-06-03,0,"Rest Day",1,68,3900,0,"Home","Neutral","None","Rest and recovery"
2025-06-04,55,"Cardio (Rowing)",8,142,9800,32,"Gym","Energized","Blister on hand","Rowing intervals, high effort"
2025-06-05,40,"Circuit Training",7,128,7600,20,"Station","Focused","None","Mixed strength and cardio stations"
2025-06-06,60,"CrossFit / Functional",9,150,10500,40,"Gym","Accomplished","None","WOD: AMRAP, challenging"
2025-06-07,30,"Foam Rolling / Recovery",2,80,3000,0,"Home","Relieved","None","Deep tissue foam rolling"
2025-06-08,50,"Combat / Tactical Drills",8,138,8700,27,"Station","Alert","None","Defensive tactics, high intensity"
2025-06-09,45,"Strength (Upper Body)",7,133,8200,22,"Gym","Strong","None","Bench press, rows, arms"
2025-06-10,35,"Cardio (Swimming)",6,120,6000,15,"Pool","Refreshed","None","Laps, moderate pace"
2025-06-11,60,"Sports (Recreational)",7,137,9900,29,"Outdoor","Happy","None","Basketball with friends"
2025-06-12,25,"Duty-related Physical Activity",5,110,5400,8,"On Duty","Neutral","None","Foot patrol, moderate activity"
2025-06-13,40,"Other (Specify)",6,125,7200,18,"Home","Content","None","Home workout, mixed exercises"
